seed,count,less_count
12,15500,15733
12,16000,16141
12,16500,16804
12,17000,17402
12,17500,17714
12,18000,18337
12,18500,18844
12,19000,19325
12,19500,19823
12,19900,20149
823,200,177
823,300,309
823,400,411
823,500,527
823,600,600
823,700,759
823,800,883
823,900,960
823,1000,1083
823,1500,1602
823,2000,2059
823,2500,2519
823,3000,3242
823,3500,3665
823,4000,4243
823,4500,4801
823,5000,5136
823,5500,5685
823,6000,6247
823,6500,6632
823,7000,7201
823,7500,7699
823,8000,8297
823,8500,8744
823,9000,9267
823,9500,9775
823,10000,10240
823,10500,10672
823,11000,11187
823,11500,11686
823,12000,12267
823,12500,12609
823,13000,13325
823,13500,13813
823,14000,14263
823,14500,14673
823,15000,15406
823,15500,15748
823,16000,16376
823,16500,16867
823,17000,17361
823,17500,17870
823,18000,18477
823,18500,18777
823,19000,19110
823,19500,19820
823,19900,19981
713,200,175
713,300,298
713,400,322
713,500,390
713,600,511
713,700,628
713,800,760
713,900,874
713,1000,982
713,1500,1496
713,2000,2017
713,2500,2425
713,3000,2965
713,3500,3429
713,4000,3996
713,4500,4506
713,5000,4936
713,5500,5420
713,6000,5937
713,6500,6541
713,7000,7072
713,7500,7616
713,8000,8055
713,8500,8612
713,9000,9132
713,9500,9555
713,10000,9840
713,10500,10396
713,11000,10858
713,11500,11280
713,12000,11828
713,12500,12313
713,13000,12836
713,13500,13690
713,14000,14067
713,14500,14536
713,15000,15032
713,15500,15572
713,16000,15867
713,16500,16522
713,17000,16937
713,17500,17392
713,18000,17802
713,18500,18589
713,19000,19121
713,19500,19528
713,19900,19795
832,200,151
832,300,251
832,400,370
832,500,481
832,600,576
832,700,722
832,800,798
832,900,928
832,1000,1024
832,1500,1523
832,2000,2022
832,2500,2604
832,3000,3039
832,3500,3632
832,4000,4191
832,4500,4559
832,5000,5107
832,5500,5604
832,6000,6060
832,6500,6503
832,7000,7022
832,7500,7595
832,8000,8251
832,8500,8618
832,9000,9161
832,9500,9727
832,10000,10289
832,10500,10622
832,11000,11273
832,11500,11829
832,12000,12314
832,12500,12873
832,13000,13084
832,13500,13709
832,14000,14047
832,14500,14684
832,15000,15294
832,15500,15652
832,16000,16267
832,16500,16677
832,17000,17404
832,17500,17798
832,18000,18214
832,18500,18863
832,19000,19329
832,19500,19947
832,19900,20154
512,200,195
512,300,320
512,400,425
512,500,535
512,600,635
512,700,696
512,800,824
512,900,931
512,1000,1061
512,1500,1497
512,2000,1983
512,2500,2449
512,3000,2951
512,3500,3299
512,4000,3791
512,4500,4304
512,5000,4683
512,5500,5237
512,6000,5824
512,6500,6414
