userNumber,modern,playful,clumsy,sharp,graceful,angular,strong,attention-grabbing,artistic,attractive,complex,calm,friendly,happy,legible,sloppy,warm,delicate,charming,formal,wide,disorderly,gentle,technical,boring,pretentious,bad,dramatic,thin,fresh,soft
12,0.9999999006950948,,0.9999999645454581,0.4664589934307053,0.9999999645454571,5.311288394982108e-8,,0.9999999796969712,0.5463754105904045,0.3499307036121046,8.500153317783545e-8,0.9999999215117997,1.264552151997413e-7,0.9999999190909247,8.233232737427163e-8,0.9999999125260431,,0.9999999796969712,8.090907528925911e-8,0.5087842668042581,2.34342411879073e-7,0.5406317785258011,0.5,2.9231833010551724e-8,,1.481847247943368e-7,1.3806535516993403e-7,5.155867324548676e-8,0.9999995897383479,8.090907528925911e-8,
13,0.752093167775329,0.6893080387716102,0.5970454535172729,0.5317567977610056,0.6932039793786066,0.636305167380748,0.9636713188262697,0.8600041019792825,0.9504245018683054,0.958692423622332,1.0000000074964828,0.7734060694673833,0.731193509027615,0.5615909057427896,0.6597564862778118,0.8645273280672675,0.6283277760825428,1.0000000069014958,0.8583996092926145,0.844201321028795,1.0000000049478703,0.9371257049141919,0.7891949089099893,0.3863703997080969,0.6232565859934617,0.8022566784317517,0.9999999966956163,0.8258712623563833,1.0000000090243764,0.7373131857045514,1.000000008427338
14,2.02463613523405e-7,,0.999999900015278,,,,,0.9999999519755668,,,4.470961719341211e-7,,2.83560283552587e-7,,,,8.090907528925911e-8,1.3217946990579013e-7,,0.9999998831527789,0.9999999643910319,,,,8.090907528925911e-8,,0.9999999004476409,,0.9999999630476364,,
15,0.5516147523759655,0.6922290415829574,0.5125223776432585,0.55391493595856,0.5693639546971281,0.29996082585439976,0.940611203967355,0.8038148667756521,0.821358719890376,0.9057143227800925,0.7847653792067192,0.5307583698731213,0.6938232557097951,0.9383278570280943,0.8417235996169191,0.5136158894934805,0.8243266645022833,0.4871751584297407,0.4838426411383468,0.6128311842451948,1.0000000004694183,0.8665865833431231,0.5350098349552521,0.6369455965772909,0.5059389018710696,0.6166697508408916,0.5305230898251945,0.5241082910486958,1.0000000053813365,0.5978262617102977,0.8270200096121172
16,0.6611675723725251,0.6207956930280253,0.5132363477780488,0.5301182111052588,0.5768293364961853,0.2679881741257478,0.9619590463679935,0.8627330048995938,0.7550075646570347,0.8523176958153623,0.5844993932699243,0.8641153683890048,0.5307658244150304,0.6160229923883614,0.7771922343122938,0.6615358683879647,0.8420684977598971,0.3961849862228966,0.5694728561781315,0.6868594998393007,0.9232299769817502,0.7391733459988453,0.47617614746310616,0.760755098693317,0.6535383526338635,0.7403384349614072,0.5340988105957006,0.8053983387842499,0.9835147410707425,0.5864458261035226,0.8743091000278813
17,0.47342451237808325,0.40745674497197354,0.6598761768317254,0.6117882101533293,0.4624465062592009,0.8346687193252584,0.6444127036220589,0.5926380624875668,0.7198931567569599,0.5545569035623922,0.5934184532942252,0.5879451746810629,0.5020492849114019,0.5173026818877705,0.5897284066696736,0.6745679232032943,0.3996094260086425,0.5828917526804153,0.4643948426777338,0.4955611252619651,0.6982449676516996,0.6000346395441306,0.5962829804984019,0.33683777657271036,0.6582625369806513,0.40306780987721885,0.5580730146320291,0.46593533561696787,1.0000000083991023,0.6786664014164984,0.47470967997732183
18,0.7382493411651031,0.8260936764977644,0.5551126734238333,0.8859662153578447,0.7022710649671646,0.9436919073229999,0.6553604321497398,0.7948942832414161,0.8193112324520319,0.5981047914748154,0.8247009834823739,0.8849872504772964,0.5344753782678818,0.6970440978566091,0.4923167691177269,0.9540468375405499,0.3033589445175615,0.8182322567309602,0.7975619233321575,0.2880314387263763,0.9239795821837679,0.8414071986053369,0.7725540527079375,0.7164570950860715,0.6789762352202852,0.6703534009451025,0.5067323479994922,0.6799175610223092,0.917043393880224,0.49544289757888044,0.8474828070565925
19,0.7279640094639074,0.8557184964422073,0.7107848172620687,0.045107000331164444,0.6258065558294692,0.27143287537119554,0.9804136965507022,0.8337829787611727,0.931714418170546,0.8841788079792111,0.9587482107575808,1.0000000081283573,0.7940914753575985,0.6354919195710564,0.7797737780340849,0.8956530531197046,0.008699963332555505,0.38919813783528795,0.6703477433628766,0.7924385898104447,1.0000000090769137,0.8479487621469277,0.4778598428882581,0.8854199004802243,0.4099536852649004,0.9043435600298102,0.8617853597639815,0.8611708643917592,1.000000009062701,0.6476605825835452,1.0000000092355859
20,0.4387652480448604,0.7061837678180604,0.47090984955987564,0.6454240450411189,0.5867570573662184,0.20788999649991938,0.6111191722442142,0.5577172524792933,0.6770028665308396,0.6279106752066461,0.6865053286366494,0.49489150675643645,0.28765455768961684,0.6832177944180537,0.7560415450293829,0.566321191227994,0.4548364470832317,1.0000000086734924,0.5214849296452136,0.3575221950675276,1.0000000087653669,0.6820647420798303,0.6010220340474602,0.22148176447681442,0.7748451425999147,0.6088318317674056,0.4090367727356569,0.6919220419176234,1.0000000082674414,0.28969300802213144,0.5521576534915574
21,1.2868827826943215e-7,,,,,,0.9999999190909247,0.9999999593999425,0.9999999107917327,0.9999998850292845,,0.9999999190909247,,,0.9999998466047743,0.9999999190909247,,0.5,0.9999999190909247,0.38953304691288765,,,,,,,,,,,0.9999999190909246
22,1.2868827826943215e-7,,,,,,0.9999999190909247,0.9999999593999425,0.9999999107917327,0.9999998850292845,,0.9999999190909247,,,0.9999998466047743,8.090907528925911e-8,,0.9999999645454581,0.9999999190909247,0.41588449368300184,,,,,,,,,,,0.9999999190909246
23,0.8033531649607893,0.7919310447195655,0.6819858706263328,0.6759753995832803,0.3333333435888046,0.9999999942785675,0.9999999645454581,0.7247953590405326,8.920826723715378e-8,0.5479224302364841,0.9999999485342607,0.9999999858442506,0.9999999472923953,0.5459405154049319,0.9999999762539011,0.503193813118697,0.601195492088845,0.417101108964782,0.999999974181067,0.9999999745656576,0.8966096470480421,,0.5,0.9999999644878607,3.545454253001068e-8,0.9999999150407441,0.7284505762113862,0.9999999452630244,0.9999999796731047,0.7196665780289208,0.7386119071028423
