name,modern,playful,clumsy,sharp,graceful,angular,strong,attention-grabbing,artistic,attractive,complex,calm,friendly,happy,legible,sloppy,warm,delicate,charming,formal,wide,disorderly,gentle,technical,boring,pretentious,bad,dramatic,thin,fresh,soft
LeagueGothic,-21.517381352120434,-27.777454413584742,20.146016220416467,-26.06345496468961,-67.63562722282636,-3.8941495623213553,-23.26004110179092,39.34425051518718,-13.263083269669568,1.1445282226760773,-1.2469708212221529,5.269745195048267,-9.690238101359189,-99.97669064453966,32.2203410144632,-20.858938163333075,-20.016746975528164,21.416706418228276,-62.30216158921559,6.216716905083023,-62.31840107171291,-2.742769566337533,-43.699324397639444,-1.9536431903150113,29.484090812142682,-25.30529928416014,1.1044955422409959,-13.077619139341282,15.094948671690638,-27.35890915620372,-1.8925200758139145
Brevia-Regular,-17.823354034580888,15.2764085302463,22.575926382321853,-15.688899337217494,-42.50941231865427,-2.9741828618761614,-30.342757406430298,-50.15026943305649,-15.069586028033475,-0.47779012983412483,-3.4978663809765442,7.337643627366205,30.872628012873054,29.48876360901078,32.85536635778321,-16.147753366834614,-27.88795402964506,22.195997081045903,-60.624857973778084,5.173145030966768,49.1414270425017,-2.545560024188483,-16.243719015363418,-3.1645122469130293,-41.573199254076854,-46.85399251377789,0.36979991566898573,11.941505547776831,20.248854190662545,-30.53431637009144,2.5433854919487504
FrancoisOne-Regular,-23.42953251141052,-31.787085606354708,-17.088082617918495,-25.782004092283913,-66.77076702489514,-5.439878863650037,70.72271492966104,38.07196851054002,-16.991105351610837,2.0889290428366376,-4.064322597291446,-35.93193113081456,28.489990746806725,14.853788427607032,36.43766734968808,-21.426467062266898,-20.451733543047066,-52.276469808739,-60.64882573028828,8.860289656242223,-3.8491951527598722,-5.5085728979353235,-12.817563958775898,-3.687845325134584,31.553954182608805,-18.834840452737176,-0.3460633568532606,-16.725614798109625,11.015028434428638,-59.85870461698379,-3.7789496104785636
ARSMaquetteWebOne,-23.216033700029254,-32.454969690773126,-16.2023576785132,-19.11838805406652,-45.523694886350825,-3.5940437660903335,-25.956692492625685,-34.57971600980205,-36.46873249491352,2.908235404658324,-6.094305054218962,6.880227152679303,34.95609792090513,11.818804670382672,35.779751607954836,-18.905710971970368,16.890395810602325,-11.652708457637118,-62.14504102014065,8.919783805015507,3.691680457879973,-7.357476865902526,-19.21418739549341,-4.734601063137273,66.86026819342219,-47.54444640519055,-1.5005676907761665,-17.066977025793108,17.09560858528507,26.6776500499983,-0.7980807056931438
Dosis-Light,-24.268595992216547,-34.01310168875763,4.515331891225563,81.09156780673788,36.97630390380982,-2.5534693714399546,-33.649949563524416,-98.93633625679033,-16.720685430733138,-20.91010201705761,-5.047322179947371,31.4236387295728,9.967947731182864,-26.918700658202955,38.97004079732061,-19.80144292221496,-88.60681603482927,97.65889462766071,-52.458769352900504,9.42740694109755,-2.561403195917583,-6.301822718599785,42.13192065239654,-4.704196868057065,84.56476249705734,-48.55542861033754,0.05123629747828207,-36.601388757531424,59.07862568462147,0.006207059166031781,28.01307608093339
CenturyGothic,-22.671868798572714,-31.534514762828138,-16.421756829369528,43.16968442299114,-47.31002682571838,-2.9449848246751116,-31.55318820939021,1.0645027653118309,-16.925499076226526,-21.831059336358237,-4.741473508433962,9.911936805332097,69.90320449363024,-24.96749480864824,54.16960352166178,-21.415880142368792,-26.807007152977874,25.713824191268905,-64.09428456760797,8.926092509637877,1.9240277799038055,-6.4375140852488695,39.77659470491674,-4.249468271320187,18.440420272697114,-68.12490409830909,-1.3665434885742505,-17.454754506865836,21.278071027038433,-18.673545594645137,4.307600180681935
Bentham-Regular,-23.337410780131922,-32.584699707146946,-81.22579702449303,79.63495491627963,43.9369596043096,-3.576959994291129,-33.74226240604652,-49.50011888299699,-14.466855719162757,-1.539436988990833,-4.281908637822694,8.024952289650908,68.35480910713362,28.791181574445584,36.82344210455778,-20.207616105453518,-56.99206328701714,50.27093343405551,-59.52597243630929,11.907891884020064,-1.0914671058933467,-7.277310835727738,-15.488462624333584,-4.855492254135804,67.65748378025538,-44.0809489807414,-1.8889860951568667,-13.726146531609757,21.67830255538927,54.459635679176486,10.653762333656719
RobotoCondensed-Regular,-22.267633570370286,-33.06192215421248,-98.95977162141935,-12.97998250447211,-43.45868846316021,-4.2931141910170325,-25.29235292504216,38.588697501875124,-17.310797046660067,2.821850443869311,-7.312443391481047,6.662921936866238,70.90900082553489,15.016029762845156,37.36480340926959,-21.765427115801717,14.316792368026517,21.97027912943728,-60.60636238732171,9.089889070319455,-3.1951826364774916,-6.490940077740075,-19.12806386495427,-6.495527262340592,99.9954969269757,-11.200457936243401,-3.231800721836871,-16.160547489719534,13.202645566647488,24.046953100402927,2.508089317757182
Marvel-BoldItalic,-20.78991926965607,-29.9684564775894,-16.938804697913135,62.58128822653686,-28.67254607509534,2.366392922781995,-32.990427146666576,0.8843778881213084,-13.418623600041773,-0.48725187843596146,-2.353964435150702,8.137325183011013,27.917597815310483,15.10970461213355,35.159078828441224,22.787464561576115,-58.061863387338505,81.05639893099524,3.731702095519778,8.984486202725623,-27.10720601614577,-4.379432334321688,74.85903714525521,-3.7122100795550295,-58.59128585495267,-47.41802169538548,-0.38466075293448576,-12.20379516792939,22.43971780332609,-29.468601217481822,27.67770652937155
Orbitron-Black,-21.535371457854197,-29.409340004817448,60.85719265635123,-25.033195585948402,-86.2008690193692,-3.2729468470650547,76.28855653750642,39.703145738962675,-13.690306624445686,3.0185358247043745,22.753952707325617,-39.59810523319078,10.833452232272585,35.038820949957454,33.970577156917784,-20.744231447938766,92.84907237595186,-42.53521283025628,-56.41363411661127,5.484959608723179,51.9079140196405,-0.8356863056321964,-16.94426294013749,0.8923784322202601,-63.509359451960535,24.57762661924041,23.136695175573514,-9.633289457956792,-33.26092940905628,-29.605012310303138,-43.41977487505329
