seed,count,less_count
12,11000,5479
12,11500,5781
12,12000,6154
12,12500,6347
12,13000,6646
12,13500,6802
12,14000,7055
12,14500,7356
12,15000,7538
12,15500,7858
12,16000,8085
12,16500,8424
12,17000,8662
12,17500,8780
12,18000,9206
12,18500,9476
12,19000,9543
12,19500,9904
12,19900,10047
823,200,92
823,300,163
823,400,196
823,500,262
823,600,299
823,700,390
823,800,447
823,900,472
823,1000,580
823,1500,800
823,2000,1026
823,2500,1255
823,3000,1625
823,3500,1849
823,4000,2078
823,4500,2416
823,5000,2599
823,5500,2883
823,6000,3139
823,6500,3332
823,7000,3621
823,7500,3838
823,8000,4184
823,8500,4336
823,9000,4744
823,9500,4973
823,10000,5149
823,10500,5268
823,11000,5535
823,11500,5843
823,12000,6144
823,12500,6283
823,13000,6644
823,13500,6910
823,14000,7086
823,14500,7232
823,15000,7717
823,15500,7830
823,16000,8188
823,16500,8428
823,17000,8700
823,17500,8952
823,18000,9177
823,18500,9377
823,19000,9559
823,19500,9879
823,19900,10035
713,200,98
713,300,144
713,400,162
713,500,193
713,600,263
713,700,293
713,800,368
713,900,416
713,1000,453
713,1500,746
713,2000,1021
713,2500,1226
713,3000,1451
713,3500,1672
713,4000,1989
713,4500,2277
713,5000,2482
713,5500,2714
713,6000,2996
713,6500,3232
713,7000,3544
713,7500,3903
713,8000,4073
713,8500,4337
713,9000,4568
713,9500,4831
713,10000,4957
713,10500,5251
713,11000,5479
713,11500,5700
713,12000,5939
713,12500,6184
713,13000,6443
713,13500,6886
713,14000,7028
713,14500,7258
713,15000,7483
713,15500,7844
713,16000,7974
713,16500,8248
713,17000,8530
713,17500,8684
713,18000,8938
713,18500,9306
713,19000,9666
713,19500,9779
713,19900,9972
832,200,79
832,300,126
832,400,184
832,500,249
832,600,290
832,700,373
832,800,405
832,900,474
832,1000,507
832,1500,775
832,2000,1010
832,2500,1294
832,3000,1487
832,3500,1792
832,4000,2132
832,4500,2299
832,5000,2596
832,5500,2813
832,6000,3075
832,6500,3300
832,7000,3574
832,7500,3897
832,8000,4213
832,8500,4351
832,9000,4573
832,9500,4905
832,10000,5107
832,10500,5338
832,11000,5619
832,11500,5887
832,12000,6166
832,12500,6514
832,13000,6502
832,13500,6847
832,14000,6989
832,14500,7343
832,15000,7552
832,15500,7774
832,16000,8145
832,16500,8308
832,17000,8677
832,17500,8853
832,18000,9016
832,18500,9465
832,19000,9663
832,19500,9943
832,19900,10135
512,200,106
512,300,164
512,400,204
512,500,266
512,600,310
512,700,335
512,800,395
512,900,451
512,1000,510
512,1500,730
512,2000,1025
512,2500,1215
512,3000,1480
512,3500,1642
512,4000,1939
512,4500,2234
512,5000,2421
512,5500,2613
512,6000,2951
512,6500,3242
512,7000,3455
512,7500,3718
512,8000,3942
512,8500,4239
512,9000,4500
512,9500,4899
512,10000,4954
512,10500,5269
512,11000,5498
512,11500,5840
512,12000,6050
512,12500,6349
512,13000,6586
512,13500,6792
512,14000,6853
512,14500,7386
512,15000,7523
512,15500,7791
512,16000,8014
512,16500,8379
512,17000,8518
512,17500,8917
512,18000,9214
512,18500,9499
512,19000,9673
512,19500,9870
512,19900,10066
356,200,69
356,300,126
356,400,183
356,500,226
356,600,294
356,700,335
356,800,376
356,900,434
356,1000,510
356,1500,768
356,2000,1008
356,2500,1254
356,3000,1574
356,3500,1785
356,4000,2154
356,4500,2372
356,5000,2578
356,5500,2831
356,6000,3071
356,6500,3328
356,7000,3582
356,7500,3839
356,8000,3985
356,8500,4295
356,9000,4535
356,9500,4751
356,10000,5038
356,10500,5270
356,11000,5588
356,11500,5773
356,12000,6095
356,12500,6283
356,13000,6705
356,13500,6998
356,14000,7221
356,14500,7406
356,15000,7622
356,15500,7866
356,16000,8051
356,16500,8408
356,17000,8677
356,17500,8874
356,18000,9149
356,18500,9336
356,19000,9493
356,19500,9846
356,19900,9937
707,200,111
707,300,151
707,400,190
707,500,222
707,600,294
707,700,362
707,800,401
707,900,436
707,1000,482
707,1500,803
707,2000,1001
707,2500,1239
707,3000,1507
707,3500,1721
707,4000,1950
707,4500,2257
707,5000,2440
707,5500,2805
707,6000,3029
707,6500,3245
707,7000,3553
707,7500,3833
707,8000,4104
707,8500,4351
707,9000,4612
707,9500,4924
707,10000,5054
707,10500,5483
707,11000,5627
707,11500,5842
707,12000,6079
707,12500,6364
707,13000,6544
707,13500,6784
707,14000,7077
707,14500,7369
707,15000,7500
707,15500,7763
707,16000,7957
707,16500,8278
707,17000,8533
707,17500,8775
707,18000,9050
707,18500,9267
707,19000,9719
707,19500,9821
707,19900,9907
310,200,115
310,300,161
310,400,227
310,500,268
310,600,356
