name,modern,playful,clumsy,sharp,graceful,angular,strong,attention-grabbing,artistic,attractive,complex,calm,friendly,happy,legible,sloppy,warm,delicate,charming,formal,wide,disorderly,gentle,technical,boring,pretentious,bad,dramatic,thin,fresh,soft
JustAnotherHand-Regular,-9.387042719576696,-8.72491998718023,99.98572219779443,44.200016961031615,29.41912840668966,-5.676045915229116,-4.2790328487829825,-25.343833778874288,34.08094696732274,-51.3275803369307,73.72982236986799,35.73784240257445,-99.99999390891371,-47.90921257101376,-99.99999715330493,-21.283058327825827,-3.1695276788117237,35.82565120051311,24.349671248884576,-42.19761517673773,-56.51219267988764,88.86108680651051,13.217604624186297,-0.07820771122913,47.06053253371728,-0.0012935071010568755,85.88660214698307,-15.178077325513307,33.81714353411513,-99.99998820247221,42.21819606285212
TenorSans,-82.91133519120135,-70.80661406293814,-52.618770262739076,45.51464312863489,44.03528210476074,-78.51213982726436,16.70099627605581,-40.87498458556954,-93.01501331318035,-28.46307922161555,-99.99986828183356,63.91556972857743,55.87401361407711,-83.49509630481434,55.69180663340585,-79.94891672949359,-10.551836864117199,44.91625433627684,34.701865906771836,73.26677109068243,7.623831086708436,-62.57339115641847,27.22207007079723,-83.88841997672627,99.99999866750706,-55.82669082452539,-69.05410993237746,-69.34735936200083,23.62783558275249,57.868171958629475,62.513410120910955
Telex-Regular,-72.98969906703152,-74.79142424564617,-75.80030948201617,10.259269573766979,41.77492155262364,-71.76056193851383,26.36199503609791,-25.837760508644386,-99.07969340166683,-25.214521209257047,-66.45439337793448,58.71423281810191,54.83179346025257,-71.48772651388906,71.63720060201393,-57.746121643945806,19.575774517465465,16.479149934001278,35.08677313298622,70.6279874879224,11.48369003714733,-80.12452436793488,37.48702335616121,-62.64684547271985,50.99710637046719,-41.921248301326564,-28.39490014092106,-29.137024830402666,7.148154719848711,69.56863855538577,54.54215614934995
KellySlab-Regular,-12.106124774661124,56.37287542782958,0.1961559158266518,48.78173799133801,44.448548233101754,-37.19903982433759,19.86075976024138,1.4403253409733323,49.849926733011216,-6.297420213488252,46.87941759401464,53.892510358786886,-24.594384209905186,-51.844487540772285,46.279839083117274,-56.10525619677863,5.9709505015048014,6.587342213229418,54.80140223075686,13.985772491190176,1.5657490924020867,-29.302120695667686,33.37153438597408,10.304347233861161,-10.285951419539266,11.25737527433002,-7.022071129591473,26.532039173367046,6.801104758182387,21.151136146843438,51.96337009498003
PTSans-Caption,-83.33469633184231,-57.4662953468312,-59.25720309612318,47.40027010194934,38.47878323507205,-66.39638212284443,23.467250196131324,-30.396543492234624,-51.352941327536584,-7.070790045224568,-52.36236387016601,63.969937056022985,58.60446767420573,-79.77462306427064,68.46631558357369,-83.89217986274186,9.700043788651815,37.52947486132043,13.34886457158371,69.10750270922082,21.89179686932531,-62.611949642438965,20.713221176065737,-61.286701543183405,37.56525263963141,-30.474696002349173,-45.11723842185364,-68.06703776853657,11.779125148568653,80.92773649826078,60.213193754375915
Lora-BoldItalic,62.461038869544566,-20.400450511167218,-0.36433127082430206,10.110333188536018,38.54516589718304,-12.833691905947493,47.58938030472107,45.905976598656714,10.79288682782007,47.96476244378278,19.39202334903591,48.59559137610823,20.277980441380617,-4.6777047204834385,76.1102467081964,-27.45155110195499,30.711482161883083,-0.1347250041370998,62.95753461837606,34.72829321647507,-3.0820706913152023,-41.1845160981007,-9.134538979463354,3.8401836853122657,-13.60759927881784,58.587945199000565,-67.57503288325114,35.78644746025589,-28.942103631720464,39.78873573326562,41.362832418626155
Inconsolata-Regular,-80.85645700800022,-54.08703017307153,-81.63883235902361,47.30386999526342,24.013959461462385,-44.24818331865497,-2.2546976018252316,-52.44710954191979,-49.871170877160885,-51.13356526059886,-28.899044858542737,78.06396145236411,49.15939465267577,-76.82337879923598,62.27388100923415,-61.25396919297758,-35.11572883334766,12.669993978320775,-19.550658199823193,33.87977528608066,-3.510230047133188,-47.317175641756904,37.955054365043054,-46.58721378254661,63.525516316434725,-54.143111613579194,-30.02199715825145,-67.06612012190628,32.56671257432138,40.078525504875465,76.78655331928569
Andada-Italic,19.829261903241154,-42.730729714516244,-33.85432734726523,47.37003339011114,58.91256985819692,-8.374045662087397,5.143524872631568,1.8272785038634958,5.149868966806596,38.13568729231083,-10.181578808243904,63.03190417308087,44.37791328273049,-39.5691130148245,45.64328633778397,-20.649522219162133,9.680146801591288,8.955937200599365,81.25724884028187,54.01946987612026,-4.774750268789264,-57.72075271759344,34.136246680836976,-29.452901285565463,9.392956493862537,8.330859182828444,-66.67572483534221,-10.32981667122019,13.97186073143526,66.38608093855694,67.6190880880425
Raleway-SemiBold,-47.027012043354944,-63.499280202062835,-45.10520815562058,9.566096184546435,31.1581069340183,-75.30535822457077,37.23833562562683,-2.6310601648101106,-47.78391177465954,13.909159616791532,-28.184397342580464,57.584928855218614,56.15637019441031,-60.00680428304365,65.42116001065243,-68.76050249930701,11.751024932024876,-14.247351858163409,29.895289667178325,52.412163614788376,8.162390542694004,-61.47312933792166,29.564437513909077,-36.39081362283588,46.19904738106096,-55.93105950752336,-45.48067743824388,-48.75557046568895,-12.30136403699039,69.88876666660626,41.99990253080649
BowlbyOneSC-Regular,-70.33258748431551,-62.837944920461055,8.372266760850565,-44.6033015226452,36.95520226298254,-78.88324143441665,99.99999102836935,62.842429220636305,-36.4677859701759,11.978772081759468,-17.471535603426148,-26.00356126085808,-17.799387858651098,-59.105308175349,21.23533630654646,-95.96848923735327,41.96311979918121,-54.25145979653039,11.243493238775816,34.346992651269005,70.79207519462689,-52.98603164120914,-32.194283043694895,5.491109893533456,34.375958521945265,10.600874067762666,0.41428299111171474,3.0637127170626646,-58.051241556496485,-14.53443322696089,-99.99998740522665
